,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
0,SPY210611C00355000,2021-05-04 3:26PM EDT,355.0,59.73,63.43,63.63,0.0,-,-,1,32.53%
1,SPY210611C00360000,2021-04-30 12:39PM EDT,360.0,58.4,58.53,58.74,0.0,-,10,10,31.15%
2,SPY210611C00365000,2021-04-30 12:39PM EDT,365.0,53.58,53.67,53.88,0.0,-,10,10,29.83%
3,SPY210611C00370000,2021-05-04 11:53AM EDT,370.0,52.79,48.84,49.04,8.66,+19.62%,1,0,28.46%
4,SPY210611C00380000,2021-05-10 1:07PM EDT,380.0,42.77,39.33,39.54,5.96,+16.19%,2,7,26.00%
5,SPY210611C00390000,2021-05-07 1:49PM EDT,390.0,31.41,30.09,30.3,-2.38,-7.04%,16,34,23.47%
6,SPY210611C00392500,2021-05-04 10:42AM EDT,392.5,31.23,27.83,28.04,5.6,+21.85%,2,2,22.80%
7,SPY210611C00395000,2021-05-06 10:28AM EDT,395.0,23.32,25.6,25.81,0.0,-,1,3,22.13%
8,SPY210611C00397500,2021-04-29 3:26PM EDT,397.5,25.58,23.4,23.61,0.0,-,-,8,21.45%
9,SPY210611C00400000,2021-05-10 2:45PM EDT,400.0,22.55,21.24,21.45,-1.93,-7.88%,7,130,20.76%
10,SPY210611C00402000,2021-05-10 12:40PM EDT,402.0,22.78,19.54,19.75,5.06,+28.56%,2,7,20.20%
11,SPY210611C00402500,2021-05-07 10:38AM EDT,402.5,22.15,19.11,19.33,-0.66,-2.89%,1,2,20.06%
12,SPY210611C00404000,2021-05-10 2:50PM EDT,404.0,18.83,17.87,18.08,3.07,+19.48%,1,1,19.64%
13,SPY210611C00405000,2021-05-10 2:50PM EDT,405.0,17.98,17.03,17.26,-2.39,-11.73%,1,12,19.36%
14,SPY210611C00406000,2021-05-10 2:14PM EDT,406.0,18.46,16.21,16.44,0.87,+4.95%,1,5,19.05%
15,SPY210611C00407000,2021-05-07 10:10AM EDT,407.0,18.8,15.42,15.63,0.0,-,1,5,18.75%
16,SPY210611C00407500,2021-05-10 12:43PM EDT,407.5,17.8,15.04,15.23,-0.75,-4.04%,10,11,18.60%
17,SPY210611C00408000,2021-05-10 3:46PM EDT,408.0,15.86,14.65,14.84,-2.19,-12.13%,1,8,18.47%
18,SPY210611C00409000,2021-05-07 10:40AM EDT,409.0,17.15,13.86,14.06,0.0,-,25,126,18.19%
19,SPY210611C00410000,2021-05-10 4:02PM EDT,410.0,13.0,13.09,13.28,-0.37,-2.77%,42,41,17.87%
20,SPY210611C00411000,2021-05-10 2:14PM EDT,411.0,14.29,12.45,12.53,-1.03,-6.72%,3,21,17.60%
21,SPY210611C00412000,2021-05-07 11:39AM EDT,412.0,12.34,11.71,11.76,-2.43,-16.45%,5,35,17.26%
22,SPY210611C00412500,2021-05-10 12:43PM EDT,412.5,13.69,11.34,11.4,-0.56,-3.93%,10,37,17.13%
23,SPY210611C00413000,2021-05-10 3:48PM EDT,413.0,11.47,10.98,11.03,-2.17,-15.91%,5,32,16.97%
24,SPY210611C00414000,2021-05-10 3:51PM EDT,414.0,10.46,10.26,10.32,-2.51,-19.35%,50,43,16.68%
