contract,mean,std,median,min,max,pProf
SPY210625C00375000,1.4277947933889688,5.797142964651872,1.7144709032072245,-10.742654799502345,35.42729851068052,0.6341637010676157
SPY210625C00380000,1.4054585009470846,5.682987244502021,1.6355159792910607,-9.62532299741602,35.34834358676436,0.6303202846975089
SPY210625C00400000,1.3170037861551027,4.97601363511593,1.10197209949395,-5.373719973203178,34.81479970696724,0.5908896797153025
SPY210625C00405000,1.296020246401523,4.732163332594665,0.8890330622655069,-4.390372284429133,34.601860669738805,0.5749466192170819
SPY210625C00410000,1.268901652317262,4.460420368095102,0.6210648356409497,-3.4620537850512014,34.33389244311425,0.5544483985765124
SPY210625C00415000,1.2385549538873974,4.161639102140317,0.28849712581225817,-2.5983347688774048,34.00132473328555,0.5237010676156584
SPY210625C00416000,1.2290014306557264,4.098608639838028,0.20954220189609396,-2.4380323475930714,33.92236980936939,0.5168683274021353
SPY210625C00417000,1.218566815415597,4.034017775258051,0.12580213107591984,-2.2825150732127475,33.83862973854922,0.5104626334519573
SPY210625C00418000,1.2072290942876862,3.9680578636008366,0.03727691335173547,-2.1317829457364343,33.75010452082503,0.5030604982206406
SPY210625C00419000,1.1950002381305158,3.9008981457078917,-0.05603345127645876,-1.9858359651641309,33.65679415619684,0.49494661921708183
SPY210625C00420000,1.1824869093953103,3.832218707051426,-0.15412896280866262,-1.844674131495837,33.55869864466463,0.4874021352313167
SPY210625C00421000,1.1690805238221327,3.7626781072786355,-0.2570096212448766,-1.7082974447315533,33.455817986228425,0.4781494661921708
SPY210625C00422000,1.155128795898186,3.692185505238351,-0.36467542658510055,-1.5767059048712797,33.34815218088819,0.4703202846975089
SPY210625C00422500,1.1461746416309881,3.656623526200803,-0.42209718943322,-1.5144989951191503,33.29073041804008,0.4659074733096085
SPY210625C00423000,1.1359425148038411,3.620849312747635,-0.48191152573334445,-1.4546846588190259,33.23091608173995,0.4600711743772242
SPY210625C00424000,1.1187658818296906,3.5487900601263807,-0.6015401983335933,-1.335055986218777,33.1112874091397,0.45081850533807827
SPY210625C00425000,1.0988864372125056,3.4761341231666303,-0.7283465912898571,-1.2226050339745431,32.98448101618344,0.44
SPY210625C00426000,1.0768616904523325,3.402667092798919,-0.8623307046021357,-1.117331802086324,32.850496902871164,0.4293238434163701
SPY210625C00427000,1.0550519209306242,3.3285685110697627,-1.0010999648184244,-1.0168437171021152,32.71172764265488,0.4200711743772242
SPY210625C00427500,1.0459273345723172,3.29139227798388,-0.9665996746100106,-0.9665996746100106,32.64234301254673,0.41437722419928824
SPY210625C00428000,1.0331839739426,3.254169466626961,-0.921140779021916,-0.921140779021916,32.56817323553458,0.4091103202846975
SPY210625C00429000,1.0064283936762428,3.17964349078564,-0.8350081347497369,-0.8350081347497369,32.41504853460626,0.3954448398576512
SPY210625C00430000,0.9796417147951604,3.1050889657644247,-0.7536606373815676,-0.7536606373815676,32.25713868677393,0.38348754448398575
SPY210625C00431000,0.9502558276062538,3.03073900060726,-0.6794908603694134,-0.6794908603694134,32.09205111858558,0.3703914590747331
SPY210625C00432500,0.9058645977929651,2.920173052947759,-0.5766102019331993,-0.5766102019331993,31.836045759221054,0.3506049822064057
SPY210625C00435000,0.8219818554019075,2.7387014277778823,-0.43784094171691074,-0.43784094171691074,31.376671656436095,0.3181494661921708
SPY210625C00437500,0.7356055896079402,2.5631504371933875,-0.32778256292468183,-0.32778256292468183,30.888586672227078,0.28384341637010674
SPY210625C00440000,0.64828351188393,2.395232932072967,-0.24404249210450762,-0.24404249210450762,30.374183380046013,0.24768683274021353
SPY210625C00442500,0.5645324569928566,2.2356950149699055,-0.18183558235237823,-0.18183558235237823,29.838246926796895,0.21352313167259787
SPY210625C00445000,0.48728329758220107,2.085520366367105,-0.13637668676428366,-0.13637668676428366,29.285562459383748,0.17565836298932383
SPY210625C00450000,0.36209518832053517,1.8122949197071856,-0.07895492391616422,-0.07895492391616422,28.14669749622938,0.12
SPY210625C00455000,0.2715331070493203,1.5736381166944062,-0.047851469040099535,-0.047851469040099535,26.981514225102952,0.08327402135231317
SPY210625C00460000,0.20106849200234378,1.3675800757565997,-0.031103454876064696,-0.031103454876064696,25.8019755132645,0.060498220640569395
SPY210625C00465000,0.15031916510565022,1.18977602167802,-0.02153316106804479,-0.02153316106804479,24.61525908107003,0.04298932384341637
